wl	n	k
0.896	2.959	3.36E-03
0.897	2.958	3.33E-03
0.898	2.957	3.31E-03
0.899	2.957	3.29E-03
0.9	2.956	3.26E-03
0.901	2.955	3.24E-03
0.902	2.954	3.22E-03
0.903	2.953	3.19E-03
0.904	2.952	3.17E-03
0.905	2.951	3.15E-03
0.906	2.951	3.13E-03
0.907	2.95	3.11E-03
0.908	2.949	3.08E-03
0.909	2.948	3.06E-03
0.91	2.947	3.04E-03
0.911	2.946	3.02E-03
0.912	2.946	3.00E-03
0.913	2.945	2.98E-03
0.914	2.944	2.96E-03
0.915	2.943	2.94E-03
0.916	2.942	2.92E-03
0.917	2.941	2.90E-03
0.918	2.941	2.88E-03
0.919	2.94	2.86E-03
0.92	2.939	2.84E-03
0.921	2.938	2.82E-03
0.922	2.937	2.80E-03
0.923	2.937	2.78E-03
0.924	2.936	2.77E-03
0.925	2.935	2.75E-03
0.926	2.934	2.73E-03
0.927	2.934	2.71E-03
0.928	2.933	2.69E-03
0.929	2.932	2.67E-03
0.93	2.931	2.66E-03
0.931	2.931	2.64E-03
0.932	2.93	2.62E-03
0.933	2.929	2.61E-03
0.934	2.928	2.59E-03
0.935	2.928	2.57E-03
0.936	2.927	2.55E-03
0.937	2.926	2.54E-03
0.938	2.925	2.52E-03
0.939	2.925	2.50E-03
0.94	2.924	2.49E-03
0.941	2.923	2.47E-03
0.942	2.923	2.46E-03
0.943	2.922	2.44E-03
0.944	2.921	2.42E-03
0.945	2.92	2.41E-03
0.946	2.92	2.39E-03
0.947	2.919	2.38E-03
0.948	2.918	2.36E-03
0.949	2.918	2.35E-03
0.95	2.917	2.33E-03
0.951	2.916	2.32E-03
0.952	2.916	2.30E-03
0.953	2.915	2.29E-03
0.954	2.914	2.27E-03
0.955	2.914	2.26E-03
0.956	2.913	2.24E-03
0.957	2.912	2.23E-03
0.958	2.911	2.22E-03
0.959	2.911	2.20E-03
0.96	2.91	2.19E-03
0.961	2.91	2.17E-03
0.962	2.909	2.16E-03
0.963	2.908	2.15E-03
0.964	2.908	2.13E-03
0.965	2.907	2.12E-03
0.966	2.906	2.11E-03
0.967	2.906	2.09E-03
0.968	2.905	2.08E-03
0.969	2.904	2.07E-03
0.97	2.904	2.06E-03
0.971	2.903	2.04E-03
0.972	2.902	2.03E-03
0.973	2.902	2.02E-03
0.974	2.901	2.01E-03
0.975	2.901	1.99E-03
0.976	2.9	1.98E-03
0.977	2.899	1.97E-03
0.978	2.899	1.96E-03
0.979	2.898	1.94E-03
0.98	2.898	1.93E-03
0.981	2.897	1.92E-03
0.982	2.896	1.91E-03
0.983	2.896	1.90E-03
0.984	2.895	1.89E-03
0.985	2.895	1.87E-03
0.986	2.894	1.86E-03
0.987	2.893	1.85E-03
0.988	2.893	1.84E-03
0.989	2.892	1.83E-03
0.99	2.892	1.82E-03
0.991	2.891	1.81E-03
0.992	2.891	1.80E-03
0.993	2.89	1.78E-03
0.994	2.889	1.77E-03
0.995	2.889	1.76E-03
0.996	2.888	1.75E-03
0.997	2.888	1.74E-03
0.998	2.887	1.73E-03
0.999	2.887	1.72E-03
1	2.886	1.71E-03
1.001	2.885	1.70E-03
1.002	2.885	1.69E-03
1.003	2.884	1.68E-03
1.004	2.884	1.67E-03
1.005	2.883	1.66E-03
1.006	2.883	1.65E-03
1.007	2.882	1.64E-03
1.008	2.882	1.63E-03
1.009	2.881	1.62E-03
1.01	2.881	1.61E-03
1.011	2.88	1.60E-03
1.012	2.879	1.59E-03
1.013	2.879	1.58E-03
1.014	2.878	1.57E-03
1.015	2.878	1.56E-03
1.016	2.877	1.55E-03
1.017	2.877	1.55E-03
1.018	2.876	1.54E-03
1.019	2.876	1.53E-03
1.02	2.875	1.52E-03
1.021	2.875	1.51E-03
1.022	2.874	1.50E-03
1.023	2.874	1.49E-03
1.024	2.873	1.48E-03
1.025	2.873	1.47E-03
1.026	2.872	1.47E-03
1.027	2.872	1.46E-03
1.028	2.871	1.45E-03
1.029	2.871	1.44E-03
1.03	2.87	1.43E-03
1.031	2.87	1.42E-03
1.032	2.869	1.41E-03
1.033	2.869	1.41E-03
1.034	2.868	1.40E-03
1.035	2.868	1.39E-03
1.036	2.867	1.38E-03
1.037	2.867	1.37E-03
1.038	2.866	1.37E-03
1.039	2.866	1.36E-03
1.04	2.865	1.35E-03
1.041	2.865	1.34E-03
1.042	2.865	1.33E-03
1.043	2.864	1.33E-03
1.044	2.864	1.32E-03
1.045	2.863	1.31E-03
1.046	2.863	1.30E-03
1.047	2.862	1.30E-03
1.048	2.862	1.29E-03
1.049	2.861	1.28E-03
1.05	2.861	1.27E-03
1.051	2.86	1.27E-03
1.052	2.86	1.26E-03
1.053	2.859	1.25E-03
1.054	2.859	1.24E-03
1.055	2.859	1.24E-03
1.056	2.858	1.23E-03
1.057	2.858	1.22E-03
